CTYNAME,STNAME,POPESTIMATE2019,Per 100000 People
Abbeville County,South Carolina,24527,0.24527
Acadia Parish,Louisiana,62045,0.62045
Accomack County,Virginia,32316,0.32316
Ada County,Idaho,481587,4.81587
Adair County,Iowa,7152,0.07152
Adair County,Kentucky,19202,0.19202
Adair County,Missouri,25343,0.25343
Adair County,Oklahoma,22194,0.22194
Adams County,Illinois,65435,0.65435
Adams County,Colorado,517421,5.17421
Adams County,Iowa,3602,0.03602
Adams County,Idaho,4294,0.04294
Adams County,Indiana,35777,0.35777
Adams County,Mississippi,30693,0.30693
Adams County,North Dakota,2216,0.02216
Adams County,Nebraska,31363,0.31363
Adams County,Ohio,27698,0.27698
Adams County,Pennsylvania,103009,1.03009
Adams County,Washington,19983,0.19983
Adams County,Wisconsin,20220,0.2022
Addison County,Vermont,36777,0.36777
Aiken County,South Carolina,170872,1.70872
Aitkin County,Minnesota,15886,0.15886
Alachua County,Florida,269043,2.69043
Alamance County,North Carolina,169509,1.69509
Alameda County,California,1671329,16.71329
Alamosa County,Colorado,16233,0.16233
Albany County,New York,305506,3.05506
Albany County,Wyoming,38880,0.3888
Albemarle County,Virginia,109330,1.0933
Alcona County,Michigan,10405,0.10405
Alcorn County,Mississippi,36953,0.36953
Aleutians East Borough,Alaska,3337,0.03337
Aleutians West Census Area,Alaska,5634,0.05634
Alexander County,Illinois,5761,0.05761
Alexander County,North Carolina,37497,0.37497
Alexandria city,Virginia,159428,1.59428
Alfalfa County,Oklahoma,5702,0.05702
Alger County,Michigan,9108,0.09108
Allamakee County,Iowa,13687,0.13687
Allegan County,Michigan,118081,1.18081
Allegany County,Maryland,70416,0.70416
Allegany County,New York,46091,0.46091
Alleghany County,North Carolina,11137,0.11137
Alleghany County,Virginia,14860,0.1486
Allegheny County,Pennsylvania,1216045,12.16045
Allen County,Kentucky,21315,0.21315
Allen County,Indiana,379299,3.79299
Allen County,Kansas,12369,0.12369
Allen County,Ohio,102351,1.02351
Allen Parish,Louisiana,25627,0.25627
Allendale County,South Carolina,8688,0.08688
Alpena County,Michigan,28405,0.28405
Alpine County,California,1129,0.01129
